ParName   Value   Gradient
SR_parm[1]      9.34646  3.63178e-05
SR_parm[2]     0.489514  2.30168e-06
SR_parm[3]      1.29569 -8.27601e-07
recdev1(1988)    0.0246708 -1.75723e-06
recdev1(1989)     0.416625 -1.26641e-06
recdev1(1990)     0.910453  -4.2165e-07
recdev1(1991)       1.1537 -4.02865e-07
recdev1(1992)      1.11633  8.72457e-07
recdev1(1993)      1.08551  1.03003e-06
recdev1(1994)      0.97825  2.16154e-06
recdev1(1995)     0.476908  1.00508e-06
recdev1(1996)     0.420733  2.06158e-06
recdev1(1997)    0.0837041  1.59961e-06
recdev1(1998)    -0.295522  1.41023e-06
recdev1(1999)    -0.683962  9.80697e-07
recdev1(2000)     -1.13767   3.6317e-07
recdev1(2001)    -0.794763  3.52538e-06
recdev1(2002)    -0.549171  2.90119e-06
recdev1(2003)    -0.347536  1.93979e-06
recdev1(2004)     0.125485  3.18362e-06
recdev1(2005)   -0.0223603  1.87762e-06
recdev1(2006)    -0.133834  9.51685e-07
recdev1(2007)    -0.532709  1.68558e-08
recdev1(2008)    -0.602925 -4.84954e-07
recdev1(2009)     -0.34833 -7.61082e-07
recdev1(2010)     -0.30762 -1.22636e-06
recdev1(2011)    -0.204167 -1.60768e-06
recdev1(2012)   -0.0220026 -1.70119e-06
recdev1(2013)    0.0953031  -1.7848e-06
recdev1(2014)     0.336254 -1.84265e-06
recdev1(2015)     0.201405 -2.11065e-06
recdev1(2016)     0.233138 -2.25989e-06
recdev1(2017)    -0.202622 -2.36821e-06
recdev1(2018)    -0.666103 -1.88225e-06
recdev1(2019)     -0.52342 -1.80615e-06
recdev1(2020)    -0.283743 -1.79325e-06
Q_parm[1]     0.136644  5.86248e-07
Q_parm[2]     0.206473   5.3025e-08
selparm[1]      4.02358  3.75001e-07
selparm[2]      1.60842 -2.25784e-07
selparm[3]      4.79463  2.36963e-07
selparm[4]      1.64869 -5.96251e-08
selparm[5]      1.99925   3.7169e-05
selparm[6]    0.0115874  3.55639e-08
selparm[7]    -0.232057   3.7527e-07
selparm[8]    -0.164504 -4.11085e-08
selparm[9]    -0.278655  6.85447e-07
selparm[10]    -0.260337 -8.69294e-08
selparm[11]   -0.0147822 -1.61298e-07
selparm[12]  -0.00316898 -4.22211e-08
