"Objective_function","Main_InitAge_4","Main_InitAge_3","Main_InitAge_2","Main_InitAge_1","Main_RecrDev_1992","Main_RecrDev_1993","Main_RecrDev_1994","Main_RecrDev_1995","Main_RecrDev_1996","Main_RecrDev_1997","Main_RecrDev_1998","Main_RecrDev_1999","Main_RecrDev_2000","Main_RecrDev_2001","Main_RecrDev_2002","Main_RecrDev_2003","Main_RecrDev_2004","Main_RecrDev_2005","Main_RecrDev_2006","Main_RecrDev_2007","Main_RecrDev_2008","Main_RecrDev_2009","Main_RecrDev_2010","Main_RecrDev_2011","Main_RecrDev_2012","Main_RecrDev_2013","Main_RecrDev_2014","Main_RecrDev_2015","Main_RecrDev_2016","Main_RecrDev_2017","Main_RecrDev_2018","Main_RecrDev_2019","Main_RecrDev_2020","SSB_Virgin","SSB_Initial","SSB_1992","SSB_1993","SSB_1994","SSB_1995","SSB_1996","SSB_1997","SSB_1998","SSB_1999","SSB_2000","SSB_2001","SSB_2002","SSB_2003","SSB_2004","SSB_2005","SSB_2006","SSB_2007","SSB_2008","SSB_2009","SSB_2010","SSB_2011","SSB_2012","SSB_2013","SSB_2014","SSB_2015","SSB_2016","SSB_2017","SSB_2018","SSB_2019","SSB_2020","SSB_2021","SSB_2022","SSB_2023","SSB_2024","SSB_2025","SSB_2026","SSB_2027","SSB_2028","SSB_2029","SSB_2030","SSB_2031","SSB_unfished","SSB_Btgt","SSB_SPR","SSB_MSY"
338.17,0.22719,0.81424,1.28458,1.51452,1.52194,1.52378,1.15046,0.545179,0.688557,0.206313,-0.0846915,-0.722889,-1.10097,-1.02836,-1.13381,-1.0245,-0.509159,-0.468125,-0.756881,-0.893645,-0.979773,-0.611429,-0.442867,0.00668857,-0.0405206,-0.0584008,0.103173,0.359437,0.249438,-0.110095,-0.46159,0.388778,-0.15655,584147,584147,696366,903033,1211020,1481780,1663740,1638880,1411730,1194650,964307,731133,502368,311349,176280,129502,131370,152826,169236,159202,143140,129362,138396,165071,217680,285204,344108,430420,577220,704455,722754,629224,595067,404919,311743,268661,248850,228305,197036,163944,138868,122501,584147,233659,381148,282100
337.672,-0.199093,0.413246,1.02657,1.46254,1.24594,1.18714,1.06235,0.351239,0.462277,0.095405,-0.335315,-1.07771,-1.00394,-1.18588,-1.23386,-0.974012,-0.630967,-0.683163,-0.572057,-0.66744,-0.878611,-0.472914,-0.370089,-0.123974,0.108038,0.27131,0.458947,0.342717,0.759315,0.323192,0.157461,0.111606,0.569716,714385,714385,699434,863979,1237800,1522730,1632720,1618030,1416720,1196550,973548,739537,500127,316330,187132,137410,139349,156508,164110,166191,170134,162468,178244,216737,271533,368151,495928,662417,803548,992107,1036250,940279,843746,598173,584138,600252,614325,633704,651565,661313,664309,663284,714385,285754,384599,268764
337.465,0.592355,0.946711,1.38189,1.63842,1.56764,1.45759,1.29203,0.765549,0.860278,0.254874,0.00861414,-0.428091,-0.873408,-0.979563,-0.71661,-0.761442,-0.259646,-0.382545,-0.556438,-0.637267,-1.07658,-0.685304,-0.732079,-0.620797,-0.405819,-0.278984,-0.150048,-0.174453,-0.0208399,-0.253574,-0.566391,0.0313188,-0.237389,523360,523360,711475,915797,1223170,1465000,1568100,1539320,1364380,1186100,960497,724102,505559,322907,184701,129572,116456,136869,157914,153219,142275,118214,109669,113396,119078,146267,177919,213010,246216,285594,301930,283081,302985,261015,235078,220517,210607,198064,183675,171405,162620,157092,523360,209344,227578,138606
340.834,0.36805,0.979412,1.39029,1.68221,1.59848,1.61159,1.40358,1.00288,0.798248,0.181738,-0.0879663,-0.375456,-1.14113,-0.580961,-0.912711,-0.945988,-0.48454,-0.66087,-0.305109,-0.795747,-0.940412,-0.950753,-0.588023,-0.405253,-0.17034,-0.0992113,0.0849834,-0.0811686,-0.203122,-0.416144,-0.347904,-1.03876,0.430111,495588,495588,643289,848760,1163140,1412740,1564490,1578460,1439270,1238650,971863,710737,487821,300920,176638,127848,122150,141087,147759,155363,150487,129964,116536,127942,152092,195679,242226,306196,364054,399360,403555,397109,359214,348805,457301,520300,545109,563670,583831,607490,631586,647573,495588,198235,321923,238030
327.103,0.177043,0.654745,1.08241,1.4332,1.42556,1.2028,1.28559,0.579452,0.555618,0.241546,-0.116519,-0.492694,-1.11004,-1.03523,-0.586298,-0.47878,-0.269977,-0.401464,-0.507101,-0.882932,-0.755301,-0.814528,-0.640526,-0.401563,-0.175071,-0.140165,-0.0264336,0.217677,0.462431,0.297633,-0.0422349,-0.800508,0.0616772,590875,590875,663726,804301,1077120,1331850,1427560,1452020,1313460,1114860,903360,690775,486650,308539,175270,130476,129549,148493,166642,166488,147551,128293,118212,122427,143704,192617,238032,281390,340285,419250,462845,441755,372728,250181,245349,256205,259743,257827,253060,248063,244457,242478,590875,236350,214281,146963
332.728,0.267845,0.369864,1.37124,1.54635,1.24598,1.3545,1.13641,0.809246,0.483742,0.136181,-0.337302,-0.733464,-1.07208,-0.805923,-0.433373,-0.307571,-0.213562,-0.798927,-0.533201,-0.864301,-0.793157,-0.564443,-0.458814,-0.395142,-0.224939,0.0392285,0.134855,0.255362,0.582157,0.044463,-0.395373,-0.226171,-0.619685,615383,615383,661483,888185,1261750,1455860,1548810,1538990,1405870,1202400,954713,706542,477794,297841,179936,147500,154077,173503,168617,157491,141625,124126,126807,145460,167928,210909,268577,329020,385890,462518,470453,407396,359887,218807,170676,165641,142948,110799,84533.6,65889.2,54386.9,48116.6,615383,246153,212717,159586
330.672,-0.0872996,0.413368,1.00177,1.49443,1.22353,1.33385,1.18604,0.611575,0.637106,0.203191,-0.449012,-0.780168,-0.995885,-1.03788,-0.662618,-0.582042,-0.409488,-0.55713,-0.622892,-0.932372,-0.851795,-0.522673,-0.34953,-0.0224064,-0.0632002,-0.0109345,0.324416,0.475648,0.395753,0.309279,-0.427252,-0.451236,0.205865,655498,655498,654762,790988,1139430,1384130,1526310,1570300,1424590,1238600,1016760,757338,512037,325911,194410,148551,148878,165800,177490,173375,155716,138484,148096,179900,234105,298042,351042,432658,532685,598148,612694,542326,460621,328571,339406,356743,363927,368191,370816,372145,373027,373705,655498,262199,255544,148443
336.244,0.192472,0.53473,1.12044,1.46778,1.23957,1.34411,1.1711,0.743584,0.5125,0.243458,-0.107244,-0.575614,-1.21797,-0.798815,-0.613369,-0.515182,-0.423362,-0.427681,-0.608374,-1.14553,-0.948455,-0.426598,-0.659913,-0.560811,-0.276773,0.11745,0.0771627,0.303899,0.299642,0.451118,-0.504596,-0.935035,0.926314,618559,618559,675999,829654,1139530,1347310,1471290,1497260,1372670,1178540,955011,733981,516889,326242,196423,151586,143166,148859,163245,161629,135142,109948,122330,137355,146835,186940,258217,324430,392270,446631,488868,443038,358127,364601,518867,613206,657648,703119,753475,794528,824396,846080,618559,247423,220509,156911
340.821,-0.148362,0.574966,1.24799,1.55851,1.06492,1.24107,1.30509,0.747555,0.427743,0.278941,-0.424302,-0.695303,-0.997761,-0.729263,-0.496427,-0.558993,-0.457767,-0.482813,-0.398898,-0.85819,-0.958133,-0.547005,-0.352996,-0.475182,-0.305708,-0.11624,0.175764,0.0906016,0.00496207,0.115077,0.323261,-0.708009,0.55489,618516,618516,639167,848536,1216700,1372460,1421920,1482370,1388720,1179670,951437,709581,479725,302997,188942,154480,149345,153707,164709,173911,161032,134454,134462,160725,179981,213000,257281,323792,376662,397448,408482,433820,398675,337545,391058,433484,453317,471582,491273,507693,519784,527891,618516,247406,227981,148972
324.04,0.206728,0.579146,0.971154,1.31249,1.20589,1.2803,1.2229,0.42646,0.358264,0.0563722,-0.327619,-0.616563,-1.1955,-1.03598,-0.783055,-0.914581,-0.375798,-0.445955,-0.527157,-0.795174,-0.761685,-0.577234,-0.322768,-0.155161,-0.000278917,0.137097,0.459555,0.243808,0.634339,0.371191,-0.653838,-0.367644,0.390305,684402,684402,757610,887278,1149530,1362950,1510700,1584850,1425640,1184120,940448,707231,495416,316892,187546,146163,140643,164360,190373,194607,183300,171605,179689,213653,262527,335603,419535,543354,628185,727558,768753,662868,554070,407534,442259,475056,490050,503250,515609,524810,531273,535376,684402,273761,296507,179570
